username,repo_name,stars,repo_url
Genymobile,scrcpy,65400,https://github.com/Genymobile/scrcpy
neovim,neovim,53700,https://github.com/neovim/neovim
git,git,42200,https://github.com/git/git
obsproject,obs-studio,38400,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,37500,https://github.com/fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,30400,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,29700,https://github.com/FFmpeg/FFmpeg
vim,vim,27100,https://github.com/vim/vim
curl,curl,25100,https://github.com/curl/curl
huihut,interview,24200,https://github.com/huihut/interview
ggreer,the_silver_searcher,23700,https://github.com/ggreer/the_silver_searcher
ruby,ruby,19200,https://github.com/ruby/ruby
mpv-player,mpv,18700,https://github.com/mpv-player/mpv
pbatard,rufus,18400,https://github.com/pbatard/rufus
ossrs,srs,18100,https://github.com/ossrs/srs
google,flatbuffers,17900,https://github.com/google/flatbuffers
oracle,graal,17000,https://github.com/oracle/graal
radareorg,radare2,16300,https://github.com/radareorg/radare2
microsoft,vcpkg,15800,https://github.com/microsoft/vcpkg
shadowsocks,shadowsocks-libev,14900,https://github.com/shadowsocks/shadowsocks-libev
kovidgoyal,kitty,14700,https://github.com/kovidgoyal/kitty
allinurl,goaccess,14700,https://github.com/allinurl/goaccess
hashcat,hashcat,14500,https://github.com/hashcat/hashcat
jarun,nnn,14200,https://github.com/jarun/nnn
TheAlgorithms,C,13500,https://github.com/TheAlgorithms/C
facebook,infer,13300,https://github.com/facebook/infer
qmk,qmk_firmware,12300,https://github.com/qmk/qmk_firmware
s-matyukevich,raspberry-pi-os,11400,https://github.com/s-matyukevich/raspberry-pi-os
skywind3000,kcp,11200,https://github.com/skywind3000/kcp
reactos,reactos,11000,https://github.com/reactos/reactos
